context
"Filename: TG Booklet 1, Paragraph(s) Number: 65, Content: AARAEFI AFP ﷐After Action ReviewsAdverse Events Following Immunization Acute Flaccid Paralysis  ﷐AFRO AWD ﷐WHO Regional Office for Africa Acute Watery Diarrhoea  ﷐CDCCBSFP ﷐Centres for Disease Control and Prevention Community Based Surveillance Focal Person﷐CBSCBIS CEBS CFR﷐Community Based SurveillanceCommunity Based Information System Community Event Based Surveillance Case Fatality Ratio ﷐CHV ﷐Community Health Volunteer ﷐CONOPS            ﷐Concept of Operations﷐DEHO ﷐District Environmental Health Officer﷐DHIS2 ﷐District Health Information System version 2 ﷐DHMT DHODHSSDMO﷐District Health Management Team District Health OfficeDirector of Health and Social ServicesDistrict Medical Officer﷐DRMEBSeDEWS ﷐Disaster Risk Management Event Based SurveillanceElectronic Disease Early Warning System ﷐EOC ﷐Emergency Operations Centre ﷐EPI ﷐Expanded Program on Immunization ﷐EPR ﷐Emergency Preparedness and Response ﷐EVD ﷐Ebola Virus Disease﷐EWARSHF ﷐Early Warning, Alert and Response SystemHealth Facility ﷐HCW HIV/AIDS﷐Healthcare Worker Human Immunodeficiency Virus / Acquired Immune Deficiency Syndrome﷐HMIS ﷐Health Management Information System ﷐HPO HSA﷐Health Promotion Officer Health Surveillance Assistant﷐IDSR IBSIMS﷐Integrated Disease Surveillance and Response Indicator Based SurveillanceIncident Management System﷐IEC IMC IOM ﷐Information, Education and Communication International Medical Corps International International Organization for Migration﷐IPC ﷐Infection Prevention and Control ﷐IHR 2005 IRC JEELISGIS ﷐International Health Regulations (2005) International Rescue Committee Joint External EvaluationLiberian Institute of Statistics and Geo-Information Services ﷐MCH MDR-TB﷐Maternal Child Health Multi Drug Resistance Tuberculosis﷐MEFMOH MOAMTI ﷐Monitoring and Evaluation FrameworkMinistry of Health Ministry of AgricultureMedical Teams International ﷐NGO ﷐Non-Government Organization  ﷐NNT NFPOCPCIPHEPoEPHEICPHEMCPHEOC                   PPEPHERRT RTA SARS SIMEXSTARSTI UNICEFVHCVHFWHOXDR-TB﷐Neonatal Tetanus National Focal PointOfficer in Charge Project Concern InternationalPublic Health EventsPoint of EntryPublic Health Emergency of International ConcernPublic Health Emergency Management CommitteePublic Health Emergency Operations CentrePersonal Protective EquipmentPublic Health Emergency Rapid Response Team Road Traffic Accident Severe Acute Respiratory Syndrome Simulation ExerciseStrategic Tool for Assessing RisksSexually Transmitted Infections United Nations Children’s Emergency FundVillage Health CommitteeViral Haemorrhagic FeverWorld Health OrganizationExtensively Drug-resistant Tuberculosis"
"Filename: TG Booklet 1, Paragraph(s) Number: 66, Content: GLOSSARY (DEFINITION OF KEY TERMS)"
"Filename: TG Booklet 1, Paragraph(s) Number: 67, Content: Acute ﷐Any disease having a rapid (sudden) onset and following a short course. ﷐Alert﷐An indirect early warning signs of a potential public health event occurring in a community under surveillance. Alerts must be investigated further and verified as to whether they represent a true event or not﷐Chronic ﷐Any health condition that develops slowly or of long duration and tends to result in some functional limitation and need for ongoing medical care. ﷐Cluster ﷐An aggregation of cases or health related condition in a given area over a particular period regardless of whether the number of cases is more than expected in relation to time or place or both. ﷐Disease ﷐An illness or medical condition, irrespective of origin or source, which presents or could present significant harm to animals, humans and plants. ﷐Disaster﷐the serious disruption of the functioning of a community or a society, causing widespread human, material, economic or environmental losses exceeding the ability of the affected community or society to cope using its own resources. ﷐Elimination ﷐Reduction to zero (or a very low defined target rate) of new cases in a defined geographical area ﷐Endemic ﷐A disease or condition regularly found among particular people or in a certain area. ﷐Epidemic ﷐Refers to an increase in the number of cases of a disease or an event above what is normally expected in that population in a given area over a particular period of time. ﷐Epidemiological link ﷐When a patient has or had exposure to a probable or confirmed case. ﷐Epidemiology ﷐The study of the distribution and determinants of health related states and the application of this information to controlling public health problems.  ﷐Eradication ﷐The purposeful reduction of specific disease prevalence to the point of continued absence of transmission in the world. ﷐Aetiology ﷐Refers to the cause, set of causes, or origin of a disease or condition. ﷐Event ﷐Under the IHR (2005) (Article 1), an event is defined as ‘a manifestation of disease, or an occurrence that creates a potential for disease’ (with particular reference to public health events of international concern, or PHEIC). An emergency incident or occurrence. An event may be insignificant or could be a significant occurrence, planned or unplanned (e.g. extreme weather event or mass gathering), that may impact the safety and security of communitiesNB: ‘Event’ and ‘incident’ are often used interchangeably﷐Health ManagementInformation System ﷐A  reporting system for diseases, conditions, and risks that is reported to the MOH from every health facility electronically or on paper weekly, monthly and quarterly basis.  ﷐Human-animal-environment interface﷐A continuum of contacts and interactions among people, animals, their products, and their environment(s); in some cases, facilitating transmission of zoonotic pathogens or shared health threats.﷐Incident﷐An occurrence or event, natural or human-caused that requires an emergency response to protect life, property, or the environment. An incident may be geographically confined (e.g. within a clearly delineated site or sites) or dispersed (e.g. a widespread power outage or an epidemic). Incidents may start suddenly (e.g. a chemical plant explosion) or gradually (e.g. a drought). They may be of very short duration (e.g. a call for emergency medical assistance), or continue for months or even years. They may be war-related disasters, public health and medical emergencies, and other emergencies.﷐Incident Management System (IMS)﷐This is a standardized approach to emergency management encompassing personnel, facilities, equipment, procedures, and communications operating within a common organizational structureThe IMS Standardized processes allow all who respond to the same incident to formulate a unified plan to manage the incident﷐International Health Regulations (2005) ﷐International legal instrument that is binding in 196 countries. The regulations aim to help the international community prevent and respond to acute public health risks that have the potential to cross borders and threaten people worldwide.  ﷐Multi-sectoral﷐Participation of more than one sector working together on a joint program or response to an event (e.g., a joint investigation by public health and law enforcement).  ﷐One Health﷐An approach to address a shared health threat at the human-animal-environment interface based on collaboration, communication, and coordination across all relevant sectors and disciplines, with the ultimate goal of achieving optimal health outcomes for both people and animals. A One Health approach applies to the local, regional, national, and global levels.﷐Outbreak ﷐The occurrence of more cases than expected in a defined geographic area or time. ﷐Pandemic ﷐An epidemic/outbreak occurring worldwide, or over a very wide area, crossing international borders and usually affecting a large number of people. ﷐Point of Entry ﷐Any passage, via land, air or sea, for international entry or exit of travellers, baggage, cargo, containers, conveyances, goods and postal parcels as well as agencies and areas providing services to them on entry or exit. ﷐Reporting site﷐A site which reports about surveillance and outbreak data to the district level. A reporting site includes all health facilities (public, private and quasi-governmental, faith based), standalone laboratories, PoEs. A reporting site also contains event reports from community surveillance and response﷐Zoonotic disease or zoonosis﷐An infectious disease that can be shared between animals and humans"
"Filename: TG Booklet 1, Paragraph(s) Number: 68, Content: 1.1 Introduction "
"Filename: TG Booklet 1, Paragraph(s) Number: 69, Content: This section introduces the concepts of Integrated Disease Surveillance and Response (IDSR), which incorporates indicator-based and event-based surveillance as integral parts of an Early Warning Alert and Response System (EWARS). The section also provides guidance on how IDSR works, the objectives of IDSR, and how IDSR can help to build and sustain the International Health Regulation (IHR) core capacities, thereby facilitating the implementation of IHR.  Furthermore, this section introduces other aspects such as; the One Health approach; the linkage between Disaster Risk Management (DRM) and IDSR; the core surveillance functions; how sub-national levels (for example districts) can use these guidelines to strengthen surveillance and response; the roles and responsibilities of the various actors at different levels; and finally, the priority diseases, conditions and events recommended in Malawi IDSR. "
"Filename: TG Booklet 1, Paragraph(s) Number: 70, Content: It is important to emphasize from the onset that these guidelines are to help build and strengthen surveillance systems for priority diseases, conditions and all other public health events, whether they are known or unknown, whether they are disease events or other IHR hazards.  These guidelines are NOT limited to only known diseases. "
"Filename: TG Booklet 1, Paragraph(s) Number: 71, Content: 1.2 Public Health Surveillance"
"Filename: TG Booklet 1, Paragraph(s) Number: 72, Content: Public Health Surveillance is the ongoing systematic identification, collection, collation, analysis, and interpretation of disease occurrence and public health event data to take timely and robust action. It includes the timely dissemination of the resulting information to those who need to know for effective and appropriate action. Surveillance is also essential for planning, implementation, monitoring and evaluation of public health practice. Malawi has decided to achieve its public health surveillance objectives through the implementation of the IDSR strategy."
"Filename: TG Booklet 1, Paragraph(s) Number: 73, Content: 1.2.1 Definition of the different types/approaches of public health surveillance"
"Filename: TG Booklet 1, Paragraph(s) Number: 74, Content: Passive surveillance: A system by which, a health institution receives routine reports submitted from health facilities (hospitals, clinics, public health units, or community or other sources). There is no active search for cases. This is the most common, and it includes the surveillance of diseases and other public health events using routine surveillance; routine Health Management and Information System (HMIS) or any other public health information system,"
"Filename: TG Booklet 1, Paragraph(s) Number: 75, Content: Active surveillance:  It involves an ongoing search for cases in the community or the health facilities. This may involve regular contacts with key reporting sources, such as telephone calls to health care workers at a facility or laboratory or physically moving to the source and records review of data. Examples include active search of cases of measles and polio, as well as during outbreaks where one must institute mechanisms for active finding of additional cases. "
"Filename: TG Booklet 1, Paragraph(s) Number: 76, Content: Integrated Disease Surveillance: It is an approach that aims at collecting health data for multiple diseases using standardized tools. To ensure robust early warning and prompt response, the IDSR data collection and analysis system relies on two main channels of information or signal generation, namely: 1) Indicator-Based Surveillance (IBS) and 2) Event-Based Surveillance (EBS)."
"Filename: TG Booklet 1, Paragraph(s) Number: 77, Content: 1.2.1.1 Indicator-based surveillance "
"Filename: TG Booklet 1, Paragraph(s) Number: 78, Content: Indicator-based surveillance is the systematic (regular) identification, collection, monitoring, analysis and interpretation of structured data, such as indicators produced by a number of well-identified, mostly health facility-based, formal sources."
"Filename: TG Booklet 1, Paragraph(s) Number: 79, Content: What are the common methods of indicator-based surveillance?"
"Filename: TG Booklet 1, Paragraph(s) Number: 80, Content: Facility-based surveillance: All reporting units (e.g., health facilities) are required to report on a weekly, monthly, quarterly or annual basis to the next level based on the categories of the diseases, conditions and events. Additionally, they are also required to report immediately, any epidemic prone disease to the next level."
"Filename: TG Booklet 1, Paragraph(s) Number: 81, Content: Case based surveillance: Case-based surveillance involves the ongoing and rapid identification of identifiable cases for purposes of case follow-up. It is the type of surveillance used for diseases that are targeted for elimination or eradication or during confirmed outbreaks. In these scenarios, every individual case identified is reported immediately, using a case based form to the next level"
"Filename: TG Booklet 1, Paragraph(s) Number: 82, Content: Sentinel surveillance: This type of surveillance is done for specific conditions in a specific cohort such as in a geographical area or population subgroup to estimate trends in a larger population. A given number of health facilities or reporting sites are usually designated as sentinel sites for monitoring rate of occurrence of priority events such as pandemic or epidemic events and other Public Health Events (PHEs) of public health importance and they act as early warning and reporting sites. Sentinel sites are usually designated because they are representative of an area or are in an area of likely risk for a disease or condition of concern. Examples of sentinel surveillance include: sentinel surveillance for Influenza, Rotavirus, Paediatric Bacterial Meningitis (PBM) and environmental sewage sampling for polio."
"Filename: TG Booklet 1, Paragraph(s) Number: 83, Content: Syndromic surveillance: An active or passive system that uses Standard Case Definitions based entirely on clinical features without any laboratory diagnosis. Few examples include; - collecting the number of cases of Acute Flaccid Paralysis (AFP) as an alert for polio; or acute watery diarrhoea among people aged two years and older as an alert for cholera; or ""rash illness"" as an alert for measles; or Acute Haemorrhagic Fever (AHF) as an alert for viral haemorrhagic diseases, or Severe Acute Respiratory Infection (SARI) or Influenza-Like Illness (ILI) as alerts for influenza. Because of the lack of specificity of this system, reports require more investigation from higher levels. "
"Filename: TG Booklet 1, Paragraph(s) Number: 84, Content: Laboratory-based surveillance: This consists of surveillance conducted at laboratories for detecting events or trends that may not be seen as a problem at other locations or that originates from laboratory testing mainly done routinely or used when conducting sentinel surveillance. Laboratories can be the source of an initial alert for a specific outbreak or public health event that necessitates further epidemiological investigations. For example, the laboratory may be the first to detect the emergence of resistant strains in the community such as multi-drug resistant tuberculosis (MDR-TB). Other examples of laboratory-based surveillance include virological surveillance as influenza and bacteriological surveillance such as Antimicrobial resistance surveillance system. Recently, WHO has established a Global Antimicrobial Resistance Surveillance System (GLASS), which is a surveillance system for clinical specimens and is focusing initially on priority human bacterial infections namely E. coli, K. pneumonia, S. aureus, S. pneumoniae, Salmonella spp., Shigella spp and N. gonorrheae. This type of laboratory surveillance provides information about antimicrobial resistance incidence, prevalence, and trends. Malawi is part of GLASS and is currently monitoring the priority bacterial infections listed above in 9 sites across the country."
"Filename: TG Booklet 1, Paragraph(s) Number: 85, Content: Disease-specific surveillance: This involves surveillance activities aimed at targeted health data for a specific disease for vertical surveillance. Examples include Tuberculosis, Malaria and HIV surveillance systems."
"Filename: TG Booklet 1, Paragraph(s) Number: 86, Content: Community Based Surveillance (CBS):  Defined as the systematic detection and reporting of events of public health significance within the community by community members. CBS incorporates both Indicator-based and Event-based surveillance methods.  In CBS, there are identified focal person(s) e.g. Community volunteer who report cases or events to the designated focal point, Health Surveillance Assistants (HSA) within the nearby local health delivery points. Community based surveillance strategies focus on two approaches to collect community information. The first one relies on identifying and reporting events based on agreed indicators (lay case definitions). For example, trusted community members are trained to identify diseases such as measles, cholera, polio and Neonatal Tetanus, using community (lay) case definitions and use standardized reporting system to the next level. The second strategy relies on reporting of unusual events (alerts) which can alert early stages of an outbreak or any other public health threat in the community. Alerts may capture a wide variety of unusual events emerging at the community level and information from these alerts may be incomplete and unconfirmed and as such they all need to be triaged and verified.  Information using this strategy can also come from people who have already been oriented on the agreed indicators (lay case definitions) for example the community volunteers, or may be any other representatives from the community, who have been oriented to detect events like unusual animal deaths and report to the next level. Often Village Health Committees (VHCs) would link the patient identified through any of the strategies, to nearby health facility and can help identify contacts. "
"Filename: TG Booklet 1, Paragraph(s) Number: 87, Content: 1.2.1.2 Event- Based Surveillance (EBS)"
"Filename: TG Booklet 1, Paragraph(s) Number: 88, Content: Event-based surveillance is the organized and rapid capture of information about events that are of potential risk to public health. Information is initially captured as an alert which is considered by the Early Warning Alert and Response system as an alert representing potential acute risk to human health, such as an outbreak. All alerts may not necessarily become real events, as such they all need to be triaged and verified before a response is initiated. Alerts which may signify potential risks may include:"
"Filename: TG Booklet 1, Paragraph(s) Number: 89, Content: Occurrence of disease in humans, such as unexplained clustered cases of a disease or syndromes, unusual disease patterns or unexpected deaths as recognized by health workers and other key informants in the community; "
"Filename: TG Booklet 1, Paragraph(s) Number: 90, Content: Events related to potential exposure for humans, such as events related to diseases and deaths in animals, contaminated food products or water, and environmental hazards including chemical and radio-nuclear events."
"Filename: TG Booklet 1, Paragraph(s) Number: 91, Content: Alerts of potential exposure of human beings by biological, chemical or radiological and nuclear hazards, or occurrence of natural or man-made disasters. "
"Filename: TG Booklet 1, Paragraph(s) Number: 92, Content: Event based surveillance also involves media monitoring and this entails the regular scanning of- newspapers, internet sites and media alert systems e.g. ProMed, blogs, social media, newspapers, radios, and television. "
"Filename: TG Booklet 1, Paragraph(s) Number: 93, Content: Event based Surveillance systems are very sensitive. Information received through event-based surveillance should be synchronized with IBS and rapidly assessed for the risk the event poses to public health and responded to appropriately (illustrated in Figure 1)."
"Filename: TG Booklet 1, Paragraph(s) Number: 94, Content: Unlike indicator-based surveillance, event-based surveillance is not based on the routine monitoring of indicators and automated thresholds for action but rather on the screening of ALL available information to detect any event happening in the community (unusual disease or deaths in humans or animals, unusual or clustering of cases, events/conditions in the community, including environmental conditions). "
"Filename: TG Booklet 1, Paragraph(s) Number: 95, Content: Intersection of IBS and EBS: All events detected in the EBS system that are investigated and meet the standard case definition should be captured in the IBS system and reported to the next level of health care system."
"Filename: TG Booklet 1, Paragraph(s) Number: 96, Content: NB: IBS and EBS are complementary sources of information, and both contribute to the early warning function critical for a prompt and proportioned response. The two are not necessarily separate surveillance systems; both are processed through a single activity and some of the surveillance functions might be common to both types."
"Filename: TG Booklet 1, Paragraph(s) Number: 97, Content: Figure 1: Indicator-based and event-based surveillance for Early Warning Alert and Response System (EWARS) for IDSR Strategy"
"Filename: TG Booklet 1, Paragraph(s) Number: 98, Content: 1.2.3 Event- based surveillance (EBS) and Indicator-Based Surveillance (IBS) as back-bone to the IDSR Strategy"
"Filename: TG Booklet 1, Paragraph(s) Number: 99, Content: Event-based Surveillance (EBS) and Indicator-Based Surveillance (IBS) are components of Early Warning Alert and Response (EWAR) and epidemic intelligence incorporated in the IDSR strategy. Both EBS and IBS are complimentary with each having a different role to play and purpose. EBS is most likely to pick up alerts to detect small outbreaks early, while IBS is better in monitoring disease trends over time and useful for signalling the start of regular seasonal outbreaks of endemic diseases using alert and epidemic thresholds. IBS may not be useful for smaller events because alerts are either averaged out in large data sets, or lost in smaller data sets. EBS is also better at picking up alerts indicating outbreaks in areas where access to healthcare is limited. In the context of IDSR strategy, the flow of EBS information follows the same reporting lines as IBS i.e. from community to health facility to district and to national level. EBS and IBS are applied at all levels of the health system namely community, health facility, district and national levels (Illustrated in figure 2)."
"Filename: TG Booklet 1, Paragraph(s) Number: 100, Content: Figure 2: Levels of Applications and Reporting of EBS and IBS in the context of IDSR"
"Filename: TG Booklet 1, Paragraph(s) Number: 101, Content: 1.3 Integrated Disease Surveillance and Response strategy"
