ID,Question Text,Question Answer,Reference Document,Paragraph(s) Number,Keywords,retrived_context
Q172,How is data from time-based analysis typically represented?,"Data from time-based analysis is usually shown on a graph, with the number or rate of cases or deaths on the vertical axis and the time period on the horizontal axis.",TG Booklet 2,784,"Time-based Data Analysis Representation, Graphs","Filename: TG Booklet 2, Paragraph(s) Number: 784, Content: Data from this type of analysis is usually shown on a graph. The number or rate of cases or deaths is placed on the vertical or y-axis. The time period being evaluated is placed along the horizontal or x-axis. Events that occurred that might affect the particular disease being analysed can also be noted on the graph.
Filename: TG Booklet 1, Paragraph(s) Number: 186, Content: Step  3 –  Analyse (person, place and time) and interpret findings: Surveillance data should be compiled, analysed for trends, compared with data from previous periods and interpreted for use in public health actions. 
Filename: TG Booklet 2, Paragraph(s) Number: 848, Content: Label all the rows and columns, including measurements of time. In the example below, the analysis is done yearly. Analysis of person is also recommended for analysis of outbreak data."
Q766,Why is early detection of Chikungunya cases important?,"Early detection of Chikungunya cases is crucial to implement timely interventions, prevent further transmission, and improve patient outcomes.",TG Booklet 6,155,Chikungunya: Importance Of Early Detection,"Filename: TG Booklet 6, Paragraph(s) Number: 155, Content:  Background﷐Chikungunya fever is a viral illness that is spread by the bite of infected mosquitoes. The disease resembles dengue fever, and is characterized by severe, sometimes persistent, joint pain (arthritis), as well as fever and rash. It is rarely life-threatening. Nevertheless, widespread occurrence of diseases causes substantial morbidity and economic loss.The word ""Chikungunya"" is Makonde for ""that which bends up,"" in reference to the stooped posture of patients afflicted with the severe joint pain associated with the disease. Epidemics of fever, rash and arthritis, resembling Chikungunya fever were recorded as early as 1779. However, the virus was first isolated between 1952-1953 from both man and mosquitoes during an epidemic in Tanzania.Chikungunya historically displayed interesting epidemiological profiles in that: major epidemics appeared and disappeared cyclically, usually with an inter-epidemic period of 7-8 years and sometimes as long as 20 years. After a long period of absence, outbreaks appeared in Indonesia in 1999 and have been virtually ongoing since 2004.﷐Surveillance goal﷐ Detect Chikungunya sporadic cases and outbreaks early, and seek laboratory verification. Identify high risk areas in order to improve prevention of outbreaks by taking steps to avoid mosquito bites and elimination of breeding sites.﷐Standard case definition﷐Acute clinical caseClinical criterion: Fever >38.50 C (101.30F) and joint pain a (usually incapacitating b) with acute onset      AND Epidemiological criterion: resident or visitor in areas with local transmission of Chikungunya on the last 15 days (suspected case for epidemiological surveillance)    ORLaboratory criterion: confirmation by laboratory: PCR, serology or viral culture (confirmed case for epidemiological surveillance)Atypical caseClinical case of laboratory confirmed Chikungunya accompanied by other manifestations: neurological, cardiological, dermatological, ophthalmological, hepatic, renal, respiratory, or haematological, among others.Severe acute caseClinical case of laboratory-confirmed chikungunya presenting dysfunction of at least one organ or system that threatens life and requires hospitalizationSuspected and confirmed chronic casesSuspect chronic case: Person with previous clinical diagnosis of chikungunya after 12 weeks of the onset of the symptoms presenting with at least one of the following articular manifestations: pain, rigidity, or edema, continuously or recurrently.  Confirmed chronic case: Every chronic case with a positive chikungunya laboratory test   a Usually accompanied by exanthema, myalgia, back pain, headache and, occasionally, vomiting and diarrhoea (pediatric age       group).  b In children aged <3 years, joint pain is expressed as inconsolable crying, irritability, rejection to mobilization and/or walking.﷐ Respond to alert threshold﷐If Chikungunya cases are suspected:Report case-based information immediately to the next levelCollect specimens for confirming the casesConduct an investigation to determine the risk factors for transmissionManage and treat the cases using acetaminophen or paracetamol to relieve fever and non-steroidal anti- inflammatory agents﷐Respond to action threshold﷐If Chikungunya cases are confirmedSymptomatic treatment for mitigating pain and fever using non-steroidal anti-inflammatory drugs along with rest usually suffices. Persistent joint pain may require analgesic and long-term anti-inflammatory therapy.Prevention is entirely dependent upon taking steps to avoid mosquito bites and elimination of mosquito breeding sites.To avoid mosquito bites:Wear full sleeve clothes and long dresses to cover the limbsUse mosquito repellentsUse mosquito nets – to protect babies, old people and others, who may rest during the day. The effectiveness of such nets can be improved by treating them with permethrin (pyrethroid insecticide). Curtains (cloth or bamboo) can also be treated with insecticide and hung at windows or doorways, to repel or kill mosquitoesMosquitoes become infected when they bite people who are infected with Chikungunya. Mosquito nets and mosquito coils and repellents will help prevent mosquitoes from biting people﷐Analyse and interpret data﷐Time:Graph cases and deaths weekly. Construct an epidemic curve during outbreaks.Place:Plot location of case households with precise mapping.Person:Report immediate case-based information for cases and deaths. Report summary totals monthly.  During outbreak, count cases and deaths weekly. Analyse by age. Assess risk factors to improve     prevention of outbreaks.﷐Laboratory confirmation: Chikungunya﷐Diagnostic test﷐Serological tests show a four-fold rise in antibody titer to Chikungunya virus; the virus may be isolated from the blood of acutely ill patients in newborn mice, mosquitoes or cell culture or detected using IFA or Reverse Transcription Polymerase Chain Reaction (RT-PCR)﷐Specimen﷐Serum﷐When to collect the specimen﷐Collect specimen from the first suspected case (s). Suspected CHIK cases occur in clusters.Collect representative specimens from suspected cases. If outbreak is confirmed, collect more specimens from cases and also mosquitoes from the affected homes for testing.Type of Specimen:-Acute-phase blood (0-10 days after onset)-Convalescent-phase blood (7 - 21 days after onset)Time of collection:When patient presents; collect second sample during convalescence. Between days 7 and 21 after onset.﷐How to prepare,store, and transport the specimen﷐Transport of specimens should comply with the WHO guidelines for the safe transport of infectious substances and diagnostic specimens (WHO, 1997).For ELISA:Refrigerate at 2º to 8º C serum or clot for testing within 24 hour. If kept for longer store at -80ºC.For virus isolation and RT_PCRStore frozen at -20ºC for short-term storage or at -70ºC or transport in fully charged dry shipper.Mosquitoes for testing should be transported in fully charged dry shipper. Focus onAedes species﷐Results﷐Diagnostic services for Chikungunya are not routinely available. Contact the appropriate National authority or WHO. Ministry of Health, Disease Outbreak Management Unit should send samples to WHO reference labs e.g. KEMRIPreliminary results are ready within 24 hours after samples arrive in the laboratory.Confirmatory results are ready within a week from sample reception.
Filename: TG Booklet 6, Paragraph(s) Number: 156, Content: Reference: Chikungunya﷐Weekly Epidemiological Record N° 1, 2005, 80, 1-8; http//www.who.int/werWorld Health Organization http://www.who.int/mediacentre/factsheets/fs327/en/United States, Centers for Disease Control http://www.cdc.gov/ncidod/dvbid/chikungunya/Sergon et al Seroprevalence of Chikungunya Virus (CHIKV) Infection on Lamu Island, Kenya, October 2004. Am J Trop Med Hyg. 2008 Feb;78(2):333-337Powers et al. Evolutionary relationships and systematics of the alphaviruses. J Virol. 2001 Nov;75(21):10118-31
Filename: TG Booklet 5, Paragraph(s) Number: 101, Content: The main objective is to rapidly detect and control acute public health events of any origin, with particular attention to prioritized health risks. The aim is to increase sensitivity of detection, quality of risk assessment, and timeliness and effectiveness of the response to acute public health risks in order to minimize the negative health consequences to the affected population."
Q1069,Why is sentinel surveillance essential in estimating trends in larger populations?,"Sentinel surveillance is crucial for estimating trends in larger populations as it monitors the rate of occurrence of priority events in specific cohorts, such as geographical areas or population subgroups.",TG Booklet 1,82,"Sentinel Surveillance, Estimating Trends, Larger Populations, Priority Events, Specific Cohorts","Filename: TG Booklet 1, Paragraph(s) Number: 82, Content: Sentinel surveillance: This type of surveillance is done for specific conditions in a specific cohort such as in a geographical area or population subgroup to estimate trends in a larger population. A given number of health facilities or reporting sites are usually designated as sentinel sites for monitoring rate of occurrence of priority events such as pandemic or epidemic events and other Public Health Events (PHEs) of public health importance and they act as early warning and reporting sites. Sentinel sites are usually designated because they are representative of an area or are in an area of likely risk for a disease or condition of concern. Examples of sentinel surveillance include: sentinel surveillance for Influenza, Rotavirus, Paediatric Bacterial Meningitis (PBM) and environmental sewage sampling for polio.
Filename: TG Booklet 1, Paragraph(s) Number: 84, Content: Laboratory-based surveillance: This consists of surveillance conducted at laboratories for detecting events or trends that may not be seen as a problem at other locations or that originates from laboratory testing mainly done routinely or used when conducting sentinel surveillance. Laboratories can be the source of an initial alert for a specific outbreak or public health event that necessitates further epidemiological investigations. For example, the laboratory may be the first to detect the emergence of resistant strains in the community such as multi-drug resistant tuberculosis (MDR-TB). Other examples of laboratory-based surveillance include virological surveillance as influenza and bacteriological surveillance such as Antimicrobial resistance surveillance system. Recently, WHO has established a Global Antimicrobial Resistance Surveillance System (GLASS), which is a surveillance system for clinical specimens and is focusing initially on priority human bacterial infections namely E. coli, K. pneumonia, S. aureus, S. pneumoniae, Salmonella spp., Shigella spp and N. gonorrheae. This type of laboratory surveillance provides information about antimicrobial resistance incidence, prevalence, and trends. Malawi is part of GLASS and is currently monitoring the priority bacterial infections listed above in 9 sites across the country.
Filename: TG Booklet 1, Paragraph(s) Number: 72, Content: Public Health Surveillance is the ongoing systematic identification, collection, collation, analysis, and interpretation of disease occurrence and public health event data to take timely and robust action. It includes the timely dissemination of the resulting information to those who need to know for effective and appropriate action. Surveillance is also essential for planning, implementation, monitoring and evaluation of public health practice. Malawi has decided to achieve its public health surveillance objectives through the implementation of the IDSR strategy."
Q387,"Where in the outbreak investigation process is the analysis of data about the outbreak repeated many times, and why is this repetition necessary?","The analysis of data about the outbreak is repeated multiple times during the course of an outbreak (322). This repetition is necessary to summarize the outbreak, identify clues, understand its spread, determine the source, and assess persons at risk (322).",TG Booklet 3,322,"Data Analysis Repetition, Outbreak Course, Summarize, Identify Clues, Understand Spread, Determine Source, Assess Risk","Filename: TG Booklet 3, Paragraph(s) Number: 322, Content: The methods for analysing outbreak data are similar to how the analysis of summary data is described in Section 3. Data about the outbreak is analysed and re-analysed many times during the course of an outbreak.
Filename: TG Booklet 5, Paragraph(s) Number: 259, Content: Outbreak investigation involves determining the cause of an outbreak and who is at risk, so that control measures can be implemented. The main objective of an outbreak investigation is to control the outbreak and thus reduce morbidity and mortality. The investigation should begin as soon as an alert is detected and has been verified. 
Filename: TG Booklet 3, Paragraph(s) Number: 177, Content: This section describes what needs to be done when conducting an outbreak investigation. An outbreak is defined as an increase in the number of cases of a disease or an event above what is normally expected in that population in a given area over a particular period of time. When an outbreak or any public health event or condition is detected and notified, there are several steps which are required for an outbreak investigation (see figure 4.1). These steps are usually listed in order, but their order of implementation is often non-sequential. Knowing these steps prepares one to conduct an investigation properly, using common sense and logic to determine when, how often, and to what extent the different steps should be implemented in a real investigation. These steps can also be used to investigate other public health problems in the district such as when an increase in chronic or non-communicable disease is detected. "
Q712,"Compare the potential causes of AEFI, and which of them requires remedial action?","Potential Causes: True product reaction, product defect, immunization error, immunization stress-related response, coincidental health event. Remedial Action: If a product- or immunization error-related problem is identified, take action to prevent recurrence.",TG Booklet 6,133,"AEFI Causes, Remedial Action: Types, Response","Filename: TG Booklet 6, Paragraph(s) Number: 133, Content: Background﷐AEFI surveillance serves as a quality assurance mechanism for national immunization programmes and, in most countries needs continuous strengthening. There are five possible causes of AEFI: 1/ a true product reaction; 2/ a product defect; 3/ an immunization error; 4/ immunization stress-related response; and 5/ a coincidental health event.  It is important to identify and provide care to patients with AEFIs.  Serious AEFIs should also be thoroughly investigated to determine their cause.﷐Surveillance goal﷐To monitor the safety of vaccines and immunization post-licensure and respond to safety concerns.﷐Standard case definition﷐Any untoward medical occurrence which follows immunization and which does not necessarily have a causal relationship with the usage of the vaccine. The adverse event may be any unfavourable or unintended sign, abnormal laboratory finding, symptom or disease.﷐Respond to minor AEFI(s)﷐If a case is identified:Treat the patientCommunicate with the parents and community that AEFI can occur with any vaccineRespond to rumours or public enquiriesComplete case reporting form (for notified cases)﷐Respond to serious AEFI(s)﷐An AEFI is considered serious if it: results in death, is life-threatening, requires in-patient hospitalization or prolongation of existing hospitalization, results in persistent or significant disability/incapacity, is a congenital anomaly/birth defect, or requires intervention to prevent permanent impairment or damage.Treat the patientCommunicate with the parents and community that AEFI can occur with any vaccineRespond to rumours or public enquiriesComplete reporting form and send it immediately to initiate investigationIf a product- or immunization error-related problem is identified take remedial action to avoid another AEFI occurring from the same cause﷐Analyse and interpret data﷐Determine the cause of the event. Beware of mass psychological illness if a number of school-aged or older individuals are involved at the same time.﷐Reference﷐“Global Manual on Surveillance of Adverse Events Following Immunization”  http://www.who.int/vaccine_safety/publications/Global_Manual_revised_12102015.pdf?ua=1Definition and application of terms for vaccine pharmacovigilance. Report of CIOMS/WHO Working Group on Vaccine Pharmacovigilance. Geneva, Council for International Organizations of Medical Sciences, 2012
Filename: TG Booklet 6, Paragraph(s) Number: 330, Content: AEFI Investigation﷐An adverse event following immunization (AEFIs) is any untoward medical occurrence which follows immunization and which does not necessarily have a causal relationship with the usage of the vaccine. The adverse event may be any unfavourable or unintended sign, abnormal laboratory finding, symptom or disease. Programmes providing immunization services should include a system for AEFI detection and reporting, investigation and management, data analysis, corrective action, relevant communication and evaluation of the system. The ultimate goal of an investigation is to determine whether the vaccine or immunization process is responsible for the reported event (s) or to find another cause and correct it if possible, and reassure the public.Further resources:Definition and application of terms for vaccine pharmacovigilance. Report of CIOMS/WHO Working Group on Vaccine Pharmacovigilance. Geneva, Council for International Organizations of Medical Sciences, 2012Global Manual on Surveillance of Adverse Events Following Immunization”  http://www.who.int/vaccine_safety/publications/Global_Manual_revised_12102015.pdf?ua=1 ﷐1. Be prepared (Steps to take before an event occurs)Read the resource documents on reporting, management and investigation of AEFIs.Develop standards: case definitions for reportable AEFIs, use of reporting forms and investigation procedures.Designate and train staff to conduct an AEFI investigation using the investigation form.Train staff on how to collect specimens.Establish procedure, criteria and designated person for notifying WHO and UNICEF(if UN- supplied vaccine) or other relevant party depending on procurement mechanismEstablish a National Technical Advisory Committee with representation from major medical organizationsIdentify a spokesperson for public communications.﷐﷐2. Receiving a reportEnsure immediate reporting of most serious events and rapid attention to reports receivedVerify the information in the report and classify and assess the AEFI using established case definitions. Decide whether it needs further investigating.If investigation is warranted, travel to the location of the AEFI, or delegate responsibility to another trained person﷐﷐3.﷐ Investigate and collect dataAsk about the patientAsk about the vaccine and other drugs potentially receivedAsk about other vaccinesAsk about immunization servicesObserve the service in actionAsk about cases in unvaccinated personsEstablish a more specific case definition if neededFormulate a hypothesis as to what caused the AEFICollect specimens if appropriate:from the patientthe vaccine (and diluent if applicable)the syringes and needles﷐4.﷐ Dispatch specimens to appropriate testing facility (laboratory, regulatory authority, etc.)﷐5.﷐ Analyse the dataReview epidemiological, clinical, and laboratory findingsSummarize and report findings﷐6.﷐ Take actionCommunicate with health staffCommunicate findings and action to the parents and publicCorrect problem (based on the cause) by improving training, supervision, and/or distribution of vaccines/injection equipmentReplace vaccines if indicated
Filename: TG Booklet 2, Paragraph(s) Number: 503, Content: Acute haemorrhagic fever syndrome*AnthraxAFP(Poliomyelitis)***AEFI(Adverse events following immunization)** CholeraCOVID-19Dengue feverDiarrhoea with blood (Shigella)Human Influenza caused by new sub-type***ListeriosisMaternal deaths**Measles**Meningococcal Meningitis Plague﷐Rabies(Human)**SARIsSARS***Smallpox***Typhoid fever Yellow feverAdverse events following immunization (AEFI)A cluster of deaths in the community (animal or human deaths)Any other public health event of international concern"
Q1228,When should the completeness of reporting sites and case reporting be assessed?,The completeness of reporting sites and case reporting should be assessed periodically to provide trend analysis and identify performance issues or discrepancies between reported cases and actual cases.,TG Booklet 4,229-234,"Completeness Assessment, Reporting Sites, Case Reporting, Periodic Assessment, Trend Analysis, Performance Issues, Case Discrepancies","Filename: TG Booklet 4, Paragraph(s) Number: 230, Content: Completeness of reporting sites refers to the proportion of reporting sites that submitted the surveillance report irrespective of the time when the report was submitted. Computing completeness of reporting sites for each of the surveillance reports can: 
Filename: TG Booklet 4, Paragraph(s) Number: 234, Content: Completeness of case reporting refers to the match between the number of cases reported and the actual number of cases. This can be obtained by comparing the number of the reportable conditions reported to the next higher level over a period with the number of cases recorded in the patient register over the same period. 
Filename: TG Booklet 4, Paragraph(s) Number: 212, Content: An important indicator of a quality reporting system is the timeliness and completeness of reporting at each level. When reports are sent and received on time, the possibility of detecting a problem and conducting a prompt and effective response is greater. If they are incomplete, then the information cannot describe the problem. If reports are late, or are not submitted, the aggregated information for the district (or other administrative area) will not be accurate. Outbreaks can go undetected, and other opportunities to respond to public health problems will be missed. "
Q939,What actions are recommended for public health in response to maternal deaths?,"Recommended public health actions include investigating every death of a woman of reproductive age to rule out pregnancy status, conducting surveillance not only in labor wards but also in the community, and implementing evidence-based interventions to address socio-cultural norms.",TG Booklet 6,224,"Maternal Death Public Health Actions, Investigation, Woman Of Reproductive Age Death, Pregnancy Status, Community Surveillance, Labor Wards Surveillance, Evidence-based Interventions, Socio-cultural Norms","Filename: TG Booklet 3, Paragraph(s) Number: 706, Content: When an outbreak, acute public health event or condition is detected, an investigation should take place to determine the cause of the outbreak as described in Section 4. The results of the investigation should guide the response. Most disease prevention and control programs implement successful response actions such as conducting a mass immunization campaign for a vaccine-preventable disease, strengthening nutritional support and feeding practices for children with malnutrition, or administering anti-malarial, antibiotic or antiviral treatments as indicated. Successful responses are carried out with community involvement and often include social and behaviour change component. 
Filename: TG Booklet 3, Paragraph(s) Number: 149, Content: It is worth noting that, many public health events (PHEs) and emergencies and their associated risk factors could be prevented or their effects mitigated. However, the health systems in most countries remain inadequate.  To avert and mitigate the effects of future health security risks and emergencies, Malawi intends to implement these IDSR technical guidelines.  These guidelines recommend thresholds for action for priority diseases, conditions, public health events and responding to alerts. Using these action thresholds can be lifesaving.
Filename: TG Booklet 5, Paragraph(s) Number: 59, Content: It is worth noting that, many public health events (PHEs) and emergencies and their associated risk factors could be prevented or their effects mitigated. However, the health systems in most countries remain inadequate. To avert and mitigate the effects of future health security risks and emergencies, Malawi intends to implement these IDSR technical guidelines. These guidelines recommend thresholds for action for priority diseases, conditions, public health events and responding to alerts. Using these action thresholds can be lifesaving."
Q942,How do maternal mortality levels in sub-Saharan Africa compare to industrialized countries?,"Maternal mortality levels in sub-Saharan Africa are much higher, with a woman’s lifetime risk of maternal death at 1 in 22, compared to 1 in 8,000 in industrialized countries.",TG Booklet 6,224,"Maternal Mortality Levels, Sub-saharan Africa, Industrialized Countries, Comparison","Filename: TG Booklet 1, Paragraph(s) Number: 680, Content: Mbonye, Wamala, Nanyunja et al.  Viral Hemorrhagic Disease Outbreak in West Africa- Lessons from Uganda. Afr Health Sci. 2014 Sep; 14(3): 495–501.DOI: 10.4314/ahs.v14i3.1
Filename: TG Booklet 3, Paragraph(s) Number: 1072, Content: Meningitis outbreak response in sub-Saharan Africa. WHO guideline, WHO/HSE/PED/CED/14.5
Filename: TG Booklet 3, Paragraph(s) Number: 1561, Content: Meningitis outbreak response in sub-Saharan Africa. WHO guideline, WHO/HSE/PED/CED/14.5"
Q290,Why is prompt verification of suspected outbreaks or events important?,"Prompt verification of suspected outbreaks or events is important (Section 4.0) to ensure effective use of human, logistic, and financial resources. It helps determine if conditions suggest a true outbreak or event, allowing for timely and appropriate response measures.",TG Booklet 3,201,"Verification Importance, Suspected Outbreaks, Events, Effective Resource Use, Conditions, Response Measures","Filename: TG Booklet 3, Paragraph(s) Number: 201, Content: Investigating outbreaks requires human, logistic and financial resources. When a suspected outbreak or event is reported, promptly verify that the information is accurate and reflects conditions suggesting a true outbreak or event. This will help to ensure that resources are used effectively. To verify the information, consider the following factors:
Filename: TG Booklet 5, Paragraph(s) Number: 247, Content: To minimize morbidity and mortality, alert verification should start immediately once the alert is received by sub-national and national surveillance focal points (WHO, 2012). The verification can be done by telephone or site visit and can include the collection of information about:
Filename: TG Booklet 5, Paragraph(s) Number: 169, Content: Laboratory confirmation is more critical for suspected outbreaks in crisis affected populations and the following should be in place to facilitate timely investigation of new outbreaks: "
Q112,How can the One Health approach strengthen reporting and involvement from various sectors?,"The One Health approach can strengthen reporting, with effective involvement from human, animal, and environmental health sectors, as well as other relevant sectors.",TG Booklet 2,651,"One Health Approach, Reporting, Human, Animal, Environmental Health Sectors","Filename: TG Booklet 2, Paragraph(s) Number: 651, Content: 2.4.6 Promote a multi-sectoral, One Health Approach with effective involvement from human, animal, and environmental health sectors as well as other relevant sectors to strengthen reporting
Filename: TG Booklet 2, Paragraph(s) Number: 61, Content: 2.4.6 Promote a multi-sectoral, One Health Approach with effective involvement from human, animal, and environmental health sectors as well as other relevant sectors to strengthen reporting	86
Filename: TG Booklet 2, Paragraph(s) Number: 652, Content: Ensure implementation of the One Health approach to improve reporting of public health risks across all levels, with emphasis also at the community level.  Emphasize on strengthening the technical and community capacities of staff for all relevant sectors (including human physicians/nurses, veterinarians (for livestock or wildlife) and environmental inspectors. "
Q785,"How do the attack rates among different age groups compare in Bacterial Meningitis, Chikungunya, and Buruli Ulcer?","Attack rates are highest among children aged less than 15 years in Bacterial Meningitis, while the text does not provide specific information on age-related attack rates for Chikungunya and Buruli Ulcer.",TG Booklet 6,"142, 154","Attack Rates: Bacterial Meningitis, Chikungunya, BU","Filename: TG Booklet 6, Paragraph(s) Number: 143, Content: Background﷐Neisseria meningitidis, Haemophilus influenzae type b (Hib), and Streptococcus pneumoniae constitute the majority of all cases of bacterial meningitis and 90% of bacterial meningitis in children.Meningococcal meningitis is the main form of meningitis causing epidemics and remains a major public health challenge in the African meningitis belt, an area that extends from Senegal to Ethiopia. In these countries, large outbreaks may occur during the dry season (November through May). Outside of the meningitis belt, smaller outbreaks may occur year-round. Epidemics in the meningitis belt were traditionally associated with Neisseria meningitidis serogroup A before the introduction of a meningococcal A conjugate vaccine (MACV) (MenAfriVac vaccine) into meningitis belt countries starting in 2010. MACV is immunogenic in both infants and adults and confers long-term protection. It has dramatically reduced the circulation of Nm A and eliminated Nm A epidemics.Epidemics from other serogroups continue to occur: since 2013 major epidemics due to Nm serogroup C occurred in Nigeria and Niger. From 2016 to 2018, major mixed epidemics of Neisseria meningitidis  serogroup W and Streptococcus pneumoniae have been reported in Ghana. In 2016 and 2017 Togo reported epidemics due to Nm serogroup W. In addition, in 2006 Burkina and Niger reported an epidemic due to Nm serogroup X.Human-to-human disease transmission is via large respiratory droplets from the nose and throats of infected people.Incubation period is 2 to 10 days.Attack rates are highest among children aged less than 15 years. Case fatality rates are usually 8-15% among treated patients, and >70% among untreated cases. Many survivors suffer long-term sequelae including mental retardation, hearing loss and loss of limb use.Ceftriaxone is the drug of choice for treatment during epidemics because it is effective on the predominant meningitis pathogens. In addition, antimicrobial resistance to ceftriaxone has not yet been detected in Africa.During epidemics in the meningitis belt, antibiotic prophylaxis is not recommendedThe current response to meningitis epidemics consists of reactive mass vaccination campaigns with bivalent (A C) or trivalent/quatrivalent polysaccharide vaccine (A, C, W/ A, C, Y W) as soon as possible after an epidemic has been declared. Polysaccharide vaccines do not protect very young children (<2 years) and only provide protection for up to three years.﷐Surveillance goals﷐To promptly detect meningitis outbreaks and to confirm aetiology of meningitis outbreaks.To use the data to plan for treatment and vaccination supplies and other prevention and control measures.To assess and monitor the spread and progress of the epidemic and the effectiveness of control measures.To monitor the epidemiology of meningitis including serogroup shifts.To monitor antibiotic susceptibility.
Filename: TG Booklet 3, Paragraph(s) Number: 1080, Content: Age ﷐Treatment protocols for bacterial meningitis during epidemics in Africa (without laboratory confirmation)﷐In children aged 0–2 months ﷐Ceftriaxone 100mg/kg/day IM or IV once a day for 7 days﷐In children aged over 2 months ﷐Ceftriaxone 100mg/kg/day once a day (maximum 2g) IM or IV for 5 days﷐In children aged >14 years and adults ﷐Ceftriaxone 2g/day once a day IM or IV for 5 days﷐Note: Outside epidemics, treatment duration should be 7–10 days for all ages
Filename: TG Booklet 6, Paragraph(s) Number: 145, Content: Respond to action thresholds Bacterial Meningitis﷐Epidemic threshold:For populations between 30 000 and 100,000*: an attack rate of 10 cases per 100 000 inhabitants per week. For populations less than 30 000 inhabitants: 5 cases in 1 week** or the doubling of the number of cases over a 3-week period.*For district populations with more than 100 000 inhabitants, it is recommended to calculate attack rates by sub-districts containing 30 000 to 100 000 inhabitants.**In special situations such as mass gathering of refugees/displaced persons or closed institutions, two confirmed cases in a week should prompt mass vaccination. Respond to epidemic threshold:Mass vaccination within 4 weeks of crossing the epidemic threshold***Mobilize community to permit early case detection, treatment, and improve vaccine coverage during mass vaccination campaigns for outbreak control.Continue data collection, transmission and analysis.Maintain regular collection of 5-10 CSF specimens per week throughout the epidemic season in all affected districts to detect possible serogroup shift. Distribute treatment to health centresTreat all cases with appropriate antibiotics as recommended by National protocol. ***If a neighbouring area to a population targeted for vaccination is considered to be at risk (cases early in the dry season, no recent relevant vaccination campaign, high population density), it should be included in a vaccination programme.﷐Analyse and interpret data﷐Time:In meningitis belt countries during epidemic season, graph weekly cases and deaths. Otherwise, graph monthly trends in cases and deaths. Construct an epidemic curve for outbreak cases.Place:In epidemics (not in endemic situations), plot location of case households and estimate distance to the nearest health facility.Person: Count total sporadic and outbreak cases. Analyse age distribution. Target case fatality rate: <10%"
Q24,What is the role of a Case Based Surveillance Focal person?,"When the number of VHCs is large, coordination may pose challenges, hence t he district may apppoint a CBS Focal supervisor to oversee a specific number of VHCs.",TG Booklet 1,483,"Case-based Surveillance Focal Person, District, Coordination, Notification, Health Risk.","Filename: TG Booklet 3, Paragraph(s) Number: 834, Content: Community-Based Surveillance Focal Persons (See Definition in Introduction section) can be the first responders and take steps to make the situation as safe as possible for the community. Some of the actions include the following:
Filename: TG Booklet 1, Paragraph(s) Number: 81, Content: Case based surveillance: Case-based surveillance involves the ongoing and rapid identification of identifiable cases for purposes of case follow-up. It is the type of surveillance used for diseases that are targeted for elimination or eradication or during confirmed outbreaks. In these scenarios, every individual case identified is reported immediately, using a case based form to the next level
Filename: TG Booklet 6, Paragraph(s) Number: 486, Content: Instructions: This form is completed by the CBS focal person and submitted immediately to nearest health facility/sub-district surveillance focal person when he or she identifies disease (s) or public health event as per the community case definition. It is also completed for unusual health events/signals that is not captured by the given case definition"
Q461,Compare the purposes and criteria for conducting a register review with those of the District log of suspected outbreaks and alerts.,"The register review (Annex 4D) is conducted specifically to collect information on cases admitted to health facilities, focusing on determining the cause of outbreaks or increases in cases. In contrast, the District log (Annex 4A) records suspected outbreaks, alerts, or unexplained events, including initial cases, deaths, and response activities. While the register review targets inpatient facilities, the log captures broader surveillance data from various sources. Both serve different but complementary roles in outbreak investigation.",TG Booklet 3,"419, 411","Register Review, District Log, Purposes, Criteria, Cases Admitted, Cause Determination, Inpatient Facilities, Epidemiological Data","Filename: TG Booklet 3, Paragraph(s) Number: 215, Content: A sample form for tracking reports of outbreaks and rumours is in Annex 4A of this section. If the district is using a district analysis workbook for recording and analysing long-term trends, the district should include the tracking form in the District Log book of alerts and rumours
Filename: TG Booklet 3, Paragraph(s) Number: 214, Content: Prepare a method for tracking the reporting of suspected outbreaks, events and rumours to the district/national level. The purpose for tracking reported outbreaks is to ensure that the report of each suspected outbreak, public health event or alert is followed by some action and resolution. Keeping this record will help to gather information for evaluating the timeliness and completeness of the outbreak investigation and response process.
Filename: TG Booklet 3, Paragraph(s) Number: 1857, Content: After an outbreak or event response has taken place, district staff who led the investigation should prepare a report. The purpose of the report is to document how the problem was identified, investigated, responded to, what the outcome was, decision taken and recommendations made. Make sure that the health unit that reported the initial cases receives a copy of the report. See Annex 7B and Annex 7D at the end of this section for an example of a recommended format and sample."
